4, 0.810424, 0.171408, -50.9562, 3.55429, 137.276
5, 0.835701, 0.162473, -50.388, 3.47276, 135.132
6, 0.858198, 0.153919, -49.603, 3.38818, 133.031
7, 0.878063, 0.145737, -48.6329, 3.30211, 130.973
8, 0.895485, 0.137922, -47.5089, 3.21589, 128.961
9, 0.91067, 0.130463, -46.2603, 3.13063, 126.997
10, 0.923837, 0.123353, -44.914, 3.0472, 125.081
11, 0.935202, 0.116581, -43.4942, 2.9663, 123.215
12, 0.944971, 0.110137, -42.0222, 2.88842, 121.398
13, 0.953341, 0.10401, -40.5167, 2.81394, 119.631
14, 0.960491, 0.0981894, -38.9933, 2.74306, 117.916
15, 0.966584, 0.092664, -37.4655, 2.67591, 116.25
16, 0.971765, 0.0874225, -35.9443, 2.61254, 114.636
17, 0.976163, 0.0824536, -34.4389, 2.5529, 113.071
18, 0.979889, 0.0777461, -32.9568, 2.49694, 111.556
19, 0.983044, 0.0732889, -31.5039, 2.44453, 110.091
20, 0.98571, 0.0690709, -30.0849, 2.39555, 108.674
21, 0.987963, 0.0650814, -28.7034, 2.34983, 107.305
22, 0.989864, 0.0613098, -27.3622, 2.30723, 105.983
23, 0.991467, 0.0577459, -26.0631, 2.26756, 104.707
24, 0.992819, 0.0543795, -24.8075, 2.23066, 103.476
25, 0.993958, 0.051201, -23.5962, 2.19637, 102.29
26, 0.994917, 0.0482011, -22.4296, 2.16453, 101.147
27, 0.995724, 0.0453706, -21.3077, 2.13496, 100.046
28, 0.996404, 0.0427009, -20.2303, 2.10753, 98.9856
29, 0.996976, 0.0401835, -19.1969, 2.08208, 97.9653
30, 0.997457, 0.0378104, -18.2067, 2.05849, 96.9838
31, 0.997862, 0.035574, -17.2589, 2.03662, 96.04
32, 0.998203, 0.0334669, -16.3527, 2.01635, 95.1326
33, 0.998489, 0.0314821, -15.4869, 1.99758, 94.2605
34, 0.99873, 0.0296128, -14.6603, 1.98018, 93.4227
35, 0.998932, 0.0278527, -13.872, 1.96407, 92.6179
36, 0.999102, 0.0261957, -13.1205, 1.94914, 91.8452
37, 0.999245, 0.024636, -12.4048, 1.93532, 91.1033
38, 0.999366, 0.0231682, -11.7235, 1.92252, 90.3913
39, 0.999467, 0.0217871, -11.0754, 1.91067, 89.7081
40, 0.999552, 0.0204876, -10.4592, 1.8997, 89.0527
41, 0.999623, 0.0192652, -9.8738, 1.88954, 88.424
42, 0.999683, 0.0181155, -9.31785, 1.88013, 87.821
43, 0.999734, 0.0170341, -8.7902, 1.87143, 87.2429
44, 0.999776, 0.0160172, -8.28964, 1.86336, 86.6887
45, 0.999812, 0.0150611, -7.81503, 1.8559, 86.1574
46, 0.999842, 0.0141621, -7.36523, 1.84899, 85.6483
47, 0.999867, 0.0133169, -6.93914, 1.8426, 85.1603
48, 0.999888, 0.0125224, -6.53569, 1.83668, 84.6928
49, 0.999906, 0.0117755, -6.15385, 1.8312, 84.245
50, 0.999921, 0.0110736, -5.79261, 1.82613, 83.8159
51, 0.999934, 0.0104138, -5.451, 1.82143, 83.405
52, 0.999944, 0.00979376, -5.12807, 1.81709, 83.0114
53, 0.999953, 0.00921108, -4.82293, 1.81306, 82.6344
54, 0.999961, 0.00866353, -4.53469, 1.80934, 82.2735
55, 0.999967, 0.00814902, -4.26253, 1.80589, 81.9279
56, 0.999972, 0.00766557, -4.00563, 1.8027, 81.5971
57, 0.999977, 0.00721134, -3.76323, 1.79975, 81.2803
58, 0.99998, 0.00678457, -3.53458, 1.79702, 80.9771
59, 0.999984, 0.00638361, -3.31897, 1.79449, 80.6868
60, 0.999986, 0.00600692, -3.11571, 1.79214, 80.409
