-80, 1.36587e-06, 0.957872, -0.630153, 1.86047, 118.635
-79, 1.63311e-06, 0.955586, -0.630153, 1.86092, 119.643
-78, 1.95263e-06, 0.953181, -0.630153, 1.86141, 120.664
-77, 2.33467e-06, 0.950654, -0.630153, 1.86195, 121.699
-76, 2.79146e-06, 0.947997, -0.630153, 1.86253, 122.747
-75, 3.33762e-06, 0.945206, -0.630153, 1.86317, 123.808
-74, 3.99064e-06, 0.942275, -0.630153, 1.86387, 124.88
-73, 4.77143e-06, 0.939197, -0.630153, 1.86463, 125.964
-72, 5.70498e-06, 0.935966, -0.630153, 1.86546, 127.058
-71, 6.82118e-06, 0.932576, -0.630153, 1.86636, 128.163
-70, 8.15577e-06, 0.92902, -0.630153, 1.86734, 129.277
-69, 9.75148e-06, 0.925292, -0.630153, 1.86842, 130.399
-68, 1.16594e-05, 0.921385, -0.630153, 1.86959, 131.529
-67, 1.39406e-05, 0.917293, -0.630153, 1.87087, 132.665
-66, 1.66681e-05, 0.913008, -0.630153, 1.87226, 133.807
-65, 1.99292e-05, 0.908523, -0.630153, 1.87378, 134.954
-64, 2.38284e-05, 0.903832, -0.630153, 1.87544, 136.103
-63, 2.84904e-05, 0.898927, -0.630153, 1.87724, 137.254
-62, 3.40645e-05, 0.893803, -0.630153, 1.87922, 138.406
-61, 4.07291e-05, 0.888451, -0.630153, 1.88137, 139.556
-60, 4.86976e-05, 0.882865, -0.630153, 1.88371, 140.704
-59, 5.8225e-05, 0.87704, -0.630153, 1.88627, 141.847
-58, 6.96162e-05, 0.870967, -0.630153, 1.88906, 142.984
-57, 8.32358e-05, 0.864641, -0.630153, 1.89211, 144.113
-56, 9.95197e-05, 0.858057, -0.630153, 1.89543, 145.231
-55, 0.000118989, 0.851208, -0.630153, 1.89905, 146.337
-54, 0.000142266, 0.844089, -0.630153, 1.90299, 147.429
-53, 0.000170097, 0.836696, -0.630153, 1.9073, 148.504
-52, 0.00020337, 0.829024, -0.630153, 1.912, 149.56
-51, 0.000243151, 0.82107, -0.630153, 1.91712, 150.595
-50, 0.000290711, 0.812829, -0.630153, 1.9227, 151.605
-49, 0.000347571, 0.804301, -0.630153, 1.92879, 152.589
-48, 0.000415547, 0.795483, -0.630153, 1.93543, 153.544
-47, 0.00049681, 0.786374, -0.630153, 1.94268, 154.467
-46, 0.000593956, 0.776973, -0.630153, 1.95057, 155.356
-45, 0.000710084, 0.767282, -0.630153, 1.95918, 156.207
-44, 0.000848897, 0.757302, -0.630153, 1.96857, 157.019
-43, 0.00101482, 0.747036, -0.630153, 1.97881, 157.788
-42, 0.00121313, 0.736487, -0.630153, 1.98996, 158.512
-41, 0.00145015, 0.72566, -0.645437, 2.00212, 159.188
-40, 0.00173338, 0.714562, -0.754542, 2.01538, 159.814
-39, 0.00207183, 0.703197, -0.881717, 2.02982, 160.387
-38, 0.00247619, 0.691576, -1.02987, 2.04555, 160.905
-37, 0.00295923, 0.679707, -1.20237, 2.06268, 161.365
-36, 0.00353617, 0.667601, -1.40307, 2.08134, 161.766
-35, 0.00422512, 0.655268, -1.63642, 2.10166, 162.105
-34, 0.00504761, 0.642722, -1.90755, 2.12376, 162.381
-33, 0.00602925, 0.629977, -2.22229, 2.1478, 162.591
-32, 0.00720041, 0.617047, -2.58735, 2.17393, 162.735
-31, 0.0085971, 0.603947, -3.01035, 2.20233, 162.811
-30, 0.0102619, 0.590696, -3.49997, 2.23314, 162.819
-29, 0.0122451, 0.57731, -4.06599, 2.26657, 162.757
-28, 0.0146059, 0.563807, -4.71948, 2.30278, 162.625
-27, 0.0174139, 0.550207, -5.47279, 2.34195, 162.423
-26, 0.0207503, 0.536529, -6.33969, 2.38427, 162.15
-25, 0.0247099, 0.522794, -7.33539, 2.4299, 161.808
-24, 0.0294024, 0.509022, -8.47648, 2.47897, 161.396
-23, 0.0349541, 0.495233, -9.78091, 2.53163, 160.916
-22, 0.0415091, 0.481448, -11.2677, 2.58794, 160.369
-21, 0.0492308, 0.467689, -12.9569, 2.64793, 159.755
-20, 0.0583015, 0.453976, -14.8686, 2.71156, 159.077
-19, 0.0689222, 0.44033, -17.0227, 2.77867, 158.336
-18, 0.0813108, 0.426769, -19.4378, 2.84899, 157.534
-17, 0.0956972, 0.413315, -22.1298, 2.92213, 156.674
-16, 0.112318, 0.399987, -25.1107, 2.99748, 155.758
-15, 0.131406, 0.386801, -28.3863, 3.07427, 154.788
-14, 0.153178, 0.373777, -31.9547, 3.15148, 153.768
-13, 0.177819, 0.36093, -35.8035, 3.22789, 152.7
-12, 0.205461, 0.348276, -39.9085, 3.30203, 151.587
-11, 0.236167, 0.335831, -44.2313, 3.37225, 150.432
-10, 0.269903, 0.323607, -48.7188, 3.43674, 149.239
-9, 0.306524, 0.311616, -53.3029, 3.49365, 148.01
-8, 0.345761, 0.299871, -57.9023, 3.54112, 146.749
-7, 0.387216, 0.288382, -62.4253, 3.57751, 145.46
-6, 0.430371, 0.277156, -66.7741, 3.60141, 144.144
-5, 0.474611, 0.266203, -70.8507, 3.61186, 142.806
-4, 0.519253, 0.255528, -74.5626, 3.60838, 141.448
-3, 0.56359, 0.245136, -77.829, 3.59103, 140.074
-2, 0.606933, 0.235033, -80.5858, 3.56043, 138.686
-1, 0.648656, 0.225221, -82.7889, 3.51767, 137.288
0, 0.688224, 0.215703, -84.4155, 3.46425, 135.882
1, 0.725224, 0.206479, -85.4641, 3.40192, 134.471
2, 0.759368, 0.197549, -85.9518, 3.33258, 133.058
3, 0.790495, 0.188914, -85.9115, 3.25815, 131.645
